"country_name","country_code","x1998","x1999","x2000","x2001","x2002","x2003","x2004","x2005","x2006","x2007","x2008","x2009","x2010","x2011","x2012","x2013"
"Macedonia, FYR","MKD",2448,2222,4559,4039,4812,11119,6291,7610,6910,6725,5961,5848,5352,4820,4686,4313
"Madagascar","MDG",2619,2615,2856,2901,3369,4113,3993,4151,4230,4154,4126,4207,4286,4733,4824,4223
"Malawi","MWI",1113,1286,1130,1272,1437,1473,1686,1773,1795,2008,2123,2296,2189,2463,1903,1921
"Malaysia","MYS",58946,54255,45301,44254,46459,48877,48294,47395,49000,52654,56285,59892,59539,59855,58485,56260
"Maldives","MDV",364,402,951,903,1217,1225,1268,1364,1365,1487,2166,2101,2356,2013,3573,4066
"Mali","MLI",1563,1580,1680,2141,2417,3214,3149,3304,3507,3781,3970,4059,4643,5141,5308,5695
"Malta","MLT",541,594,634,642,677,639,724,803,964,1026,1014,1141,1222,1231,1356,1938
"Mauritania","MRT",1920,1918,2019,2012,1984,2234,2458,2384,2697,2887,3042,3226,3593,3914,4015,4308
"Mauritius","MUS",3360,3444,4455,5401,6771,7219,7249,7286,7621,7512,7587,7754,7218,6829,6422,6041
"Mexico","MEX",13149,13486,14230,15275,19880,21724,21522,23048,23975,25043,25608,26823,26072,26302,26958,27118
"Moldova","MDA",8875,8909,9167,7970,8269,8612,9249,10005,9499,10041,15005,12788,15163,17671,15608,17387
